TOSSE
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,31,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,27,23,23,23,23,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,20,21,21,21,21,0,0,0,0,0,0,0,0,0,0,18,16,16,16,16,16,17,17,18,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,100,45,45,45,45,45,0,0,0,0,0,0,43,44,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,6,8,10,13,15,5,10,5,5,6,5,5,5,9,14,15,18,10,14,5,5,14,22,9,19,9,13,13,22,8,21,8,4,24,4,13,11,23,4,15,8,11,8,20,8,32,4,15,8,4,9,13,8,8,4,4,20,16,12,11,11,15,11,15,11,20,11,4,4,7,11,7,4,11,8,7,17,11,10,7,18,4,24,21,27,10,7,7,3,24,17,17,17,16,32,7,15,40,13,9,13,3,11,12,8,13,13,19,6,19,22,6,11,12,23,33,12,17,40,23,23,24,36,40,56,41,27,49,68,56,39,17,64,34,34,45,52,56,11,35,45,22,27,37,22,38,49,32,21,17,5,20,16,15,20,25,13,31,10,41,5,23,13,4,31,30,34,17,37,17,25,13,13,9,18,18,19,62,33,29,40,34,38,38,54,59,26,34,37,53,53,42,42,42,57,51,32,42,31,51,26,26,27,26,21,43,27,27,16,16,11,26,10,5,37,6,45,15,79,48,5,35,24,53,54,34,29,44,68,84,58,61,69,36,22,55,33,100,60,46,46,44,54,60,53,49,40,35,50,14,36,59,28,18,32,30,32,15,40,48,36,18,27,34,35,9,68,62,25,39,38,41,74,44,64,59,92,95,63,37,88,69,47,71,46,100,72,99,70,86,89,75,61,88,82,87,38,67,75,74,34,49,46,70,27,13,10,21,18,17,15,18,18,17,16,18,18,16,11,15,18,16,9,14,16,16,13,9,7,15,13,11,9,13,13,13,11,13,13,13,10,11,13,13,10,12,11,11,11,10,6,13,12,9,7,13,12,11,10,12,10,13,10,10,11,13,9,11,10,9,11,11,5,12,12,8,6,13,13,9,9,12,9,13,11,8,10,13,9,10,10,8,11,12,4,10,13,7,5,13,13,8,9,13,7
MG,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,56,56,56,56,56,56,56,0,0,0,0,0,0,0,100,46,46,46,46,46,47,49,50,52,53,0,0,0,0,0,0,0,0,74,57,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,42,52,63,73,84,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26,26,26,26,31,46,22,22,22,22,22,22,20,20,20,54,47,16,31,18,25,33,17,17,33,30,30,30,0,0,0,0,0,13,13,13,12,12,19,25,12,12,12,12,12,12,12,13,13,0,0,52,25,25,25,31,47,22,22,22,23,24,29,35,41,22,38,18,18,39,60,58,45,18,20,20,21,20,38,36,35,16,16,56,34,52,51,18,20,18,17,36,17,32,16,16,25,35,19,48,18,18,18,35,16,16,16,16,16,16,32,17,32,31,15,15,32,36,41,45,49,31,16,16,100,34,34,17,72,17,32,32,32,15,30,45,30,15,23,30,30,16,76,41,49,30,30,30,47,64,21,21,64,32,32,63,31,16,30,46,19,15,42,28,54,14,15,28,15,43,71,41,81,79,13,84,87,91,94,98,42,84,56,56,41,40,65,52,43,27,27,42,57,16,43,30,30,29,58,29,15,40,65,20,20,37,37,34,34,51,17,42,33,33,33,16,64,35,16,33,33,47,33,67,33,80,18,33,53,100,34,98,83,85,17,64,32,32,62,16,51,32,16,44,59,66,45,45,16,45,32,74,30,16,16,19,15,21,32,24,16,27,31,27,46,31,22,36,46,59,40,68,54,29,50,47,45,50,64,72,58,99,45,74,62,69,58,27,48,58,22,29,30,51,56,44,39,24,29,46,33,40,35,47,44,26,26,27,36,23,19,40,21,27,32,37,27,44,17,37,61,42,25,42,49,56,62,34,39,54,71,68,90,63,43,58,69,78,64,73,52,39,37,30,42,74,52,34,54,51,29,36,48,41,38,40,41,45,36,33,53,39,19,31,24,27,20,38,25,24,29,29,34,29,24,26,30,43,52,42,52,55,50,70,56,72,49,46,29,42,58,40,47,52,38,35,44,39,43,29,26,22,35,35,37,43,28,28,31,17,21,26,22,27,29,23,27,10,17,22,24,27,39,27,25,44,29,56,32,38,46,45,67,72,59,63,41,56,44,45,54,50,45,45,36,60,75,57,54,30,40,43,38,50,41,29,40,41,26,35,34,40,33,42,46,46,37,28,32,25,20,24,38,40,36,34,53,37,55,58,53,73,58,60,66,67,75,80,75,73,61,78,81,100,87,53,55,61,64,58,57,54,48,55,48,38,37,43,30,38,40,39,42,39,52,29,54,43,28,20,26,24,29,20,27,31,32,32,42,42,46,40,51,53,50,63,80,70,60,64,67,62,100,79,90,83,76,80,62,48,52,59,53,50,53,45,45,34,40,33,29,33,14,15,15,15,15,15,15,14,15,15,14,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
RJ,0,0,0,0,0,0,46,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,34,37,39,42,45,39,33,33,33,33,33,31,31,31,0,0,0,0,0,36,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,28,24,24,24,0,0,0,0,0,0,0,0,0,23,21,21,21,43,65,22,22,21,21,21,20,20,22,19,18,18,18,18,18,18,18,19,20,20,17,17,18,38,77,24,24,19,19,19,27,35,17,17,16,16,16,15,15,15,15,17,15,15,15,14,44,28,28,16,16,15,15,15,15,16,60,27,27,27,27,27,15,14,20,26,13,13,13,13,25,37,13,13,0,0,0,0,0,28,0,26,25,25,25,31,36,42,47,22,22,44,42,42,42,42,66,57,19,36,20,20,76,44,59,22,87,44,44,42,47,53,58,18,20,57,19,18,19,20,19,19,19,53,17,18,18,18,36,60,100,25,19,19,18,19,68,54,17,34,50,16,35,32,33,33,33,33,33,16,33,50,31,31,16,16,51,53,36,18,18,35,17,17,49,16,81,16,32,32,16,16,80,63,69,33,46,33,33,33,33,33,86,30,30,30,30,30,31,31,32,20,44,14,14,41,28,15,46,77,14,86,70,41,13,14,29,27,14,14,28,73,58,70,27,27,26,27,54,29,27,27,28,42,47,14,14,31,29,30,28,28,60,16,0,0,31,31,15,15,15,16,30,45,43,29,29,14,31,58,29,36,43,15,15,15,15,80,15,47,77,96,30,29,44,59,72,56,43,28,42,30,54,13,14,27,45,30,30,30,41,14,27,28,59,62,55,73,42,28,29,24,20,21,31,27,41,38,16,46,30,33,37,100,37,34,60,34,64,51,60,55,42,68,57,87,51,78,18,39,30,62,42,40,26,35,28,29,30,38,47,65,54,54,54,38,29,39,44,47,46,27,40,21,23,25,46,47,47,33,37,40,37,41,32,60,52,60,56,54,69,65,74,69,54,81,80,49,86,63,43,52,36,59,57,71,67,59,46,39,37,41,54,52,40,38,53,46,34,47,23,48,49,24,22,22,20,22,21,28,24,20,28,31,34,37,40,42,30,38,34,43,56,54,47,39,52,47,30,36,23,39,32,46,49,40,44,35,45,28,21,38,24,23,26,26,37,29,24,30,29,27,27,35,30,24,20,18,29,19,29,17,30,36,25,28,41,38,36,28,39,46,51,43,51,45,51,53,65,57,48,66,41,57,64,55,58,55,76,62,68,69,41,51,59,46,39,34,45,47,34,32,26,42,42,41,34,37,24,29,32,24,29,32,42,32,38,43,42,58,60,62,75,66,58,75,87,100,81,77,91,72,61,62,65,72,65,48,56,52,56,63,61,37,66,53,52,53,48,36,51,63,46,47,53,54,51,56,66,44,48,33,33,35,53,42,46,37,53,57,53,59,82,63,82,65,70,82,92,82,93,80,70,88,87,100,80,78,80,81,61,71,59,51,61,51,51,54,48,54,56,55,45,16,18,21,21,21,21,21,19,19,19,19,19,19,21,18,19,19,21,20,20,19,19,13,16,16,16,16,16,16,16,15,15,16,16,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,15,16,15,15,15,16,16,16,15,16,16,15,16,16,16,16,15,15,16,16,16,15,15,16,15,15,15,16,16,15,15,16,16,15,16,16,16,15,15,16,16,16,15,15,16,16,15,15,16,16,15
SP,0,58,29,30,31,37,42,48,54,59,0,0,0,0,0,0,0,24,23,0,0,0,0,0,45,72,100,23,23,23,23,21,21,21,20,20,20,20,21,21,32,43,53,64,28,31,35,38,41,44,53,61,23,20,20,20,20,19,19,29,38,18,28,38,16,17,17,17,17,17,33,32,32,33,16,33,33,51,18,18,18,16,16,16,16,23,31,16,23,29,29,31,32,29,29,15,14,14,14,14,75,18,18,41,31,31,14,14,14,14,14,14,16,25,12,12,24,32,40,13,19,25,46,11,32,32,55,13,24,24,72,24,48,12,22,32,20,39,10,11,19,18,18,18,10,17,9,8,8,9,25,32,17,17,10,10,10,15,15,14,14,14,14,16,26,26,12,36,24,40,24,46,66,61,53,61,68,10,77,51,100,19,92,22,10,50,30,19,27,17,51,59,43,25,61,9,30,52,8,17,25,48,17,8,17,51,27,13,47,70,25,42,8,19,24,46,37,23,15,16,22,51,51,73,46,16,44,72,63,49,14,85,29,14,55,55,75,59,22,70,28,34,60,47,40,53,20,39,25,39,39,62,34,13,53,19,40,20,35,39,61,13,33,45,25,63,37,38,38,18,41,46,28,11,38,70,67,65,80,71,72,64,72,66,82,53,70,82,74,83,65,87,38,79,31,27,65,55,41,44,33,47,55,27,24,38,29,37,27,33,46,46,8,43,42,25,20,25,42,5,20,16,12,43,53,46,31,23,32,42,48,52,47,55,49,66,52,100,73,68,83,36,51,24,34,42,45,26,38,18,29,25,42,40,25,21,23,42,38,51,21,25,44,36,44,29,26,25,28,23,26,22,28,33,34,43,39,35,49,39,43,41,44,40,56,52,64,61,75,68,65,56,67,63,46,47,32,54,57,46,37,65,54,46,48,49,44,47,31,41,39,46,45,36,43,28,36,26,31,24,28,31,24,27,37,33,26,33,38,41,36,44,40,39,48,47,46,66,52,59,68,69,47,76,60,57,54,64,56,48,47,49,56,50,50,37,50,44,41,38,35,38,44,36,45,38,37,27,29,44,24,29,26,26,26,39,26,34,26,36,25,39,38,45,57,55,76,55,67,61,59,65,56,60,61,62,51,53,41,45,54,59,44,55,53,59,50,48,40,35,43,34,42,37,37,36,32,31,31,31,40,44,38,29,33,25,23,22,31,39,39,39,41,42,56,57,59,69,67,77,71,78,75,78,81,78,62,61,60,54,46,53,48,64,66,59,74,62,60,49,44,46,47,45,42,33,38,39,40,42,33,37,34,30,33,25,33,27,19,31,39,45,40,58,54,64,69,66,81,85,78,91,85,100,95,93,96,87,84,93,75,73,79,65,68,74,75,72,75,70,57,60,58,57,59,55,44,58,56,63,52,55,48,62,59,60,29,26,21,27,19,27,30,29,39,37,52,63,67,68,68,63,51,59,74,78,87,66,67,82,100,88,87,78,70,56,63,52,60,63,57,60,58,55,50,53,57,51,44,38,12,13,14,14,14,14,13,13,13,13,13,14,14,14,13,11,11,11,11,11,11,11,11,12,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
