SANGUE NAS FEZES
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,9,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,16,4,4,4,5,6,7,8,4,4,4,4,4,4,4,4,0,0,0,0,0,9,0,0,0,0,0,0,4,4,4,5,6,7,4,4,4,4,0,0,0,0,0,0,0,3,4,4,4,4,4,5,6,7,3,4,4,4,3,3,3,3,7,3,5,7,3,3,3,3,3,3,0,0,0,7,6,6,6,6,7,0,0,0,0,0,0,0,0,0,11,6,6,6,11,6,6,6,6,11,6,6,6,6,6,6,6,6,6,6,5,5,8,11,0,0,0,0,0,0,5,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,4,4,4,4,6,8,5,9,4,5,5,6,7,9,10,11,11,5,8,10,11,5,5,5,5,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,19,5,5,5,5,5,5,5,5,4,9,5,5,5,7,9,10,11,12,13,5,5,5,6,0,5,18,4,7,9,5,4,4,8,4,4,4,8,4,4,4,4,4,4,4,5,4,5,7,8,8,9,4,4,4,4,9,4,8,11,4,8,12,4,4,8,4,0,0,18,4,5,2,1,-0,29,5,5,1,-0,4,16,5,5,1,-0,9,7,5,3,1,-0,17,5,5,2,1,-0,28,5,5,1,-0,4,16,5,5,1,-0,9,7,5,3,1,-0,17,5,5,2,1,-0,28,5,5,1,-0,4,16,5,5,1,-0,9,7,5,3,1,-0,17,5,5,2,1,-0,28,5,5,1,-0,4,16,5,5,1,-0,9,7,5,3,1,-0,17,5,5,2,1,-0,28,5
MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,11,11,12,12,13,14,14,0,0,0,0,0,0,0,0,23,22,22,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,17,15,15,15,15,16,17,18,21,24,23,0,0,0,0,0,0,0,0,0,16,16,16,15,15,15,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,16,16,16,16,14,14,14,14,14,14,15,15,15,0,0,0,0,0,14,14,14,14,13,13,14,14,14,14,14,18,22,27,14,14,14,19,24,28,14,16,14,0,0,0,0,0,15,16,16,0,0,0,0,18,17,17,34,0,0,0,0,0,16,17,16,16,16,16,16,16,16,21,26,31,35,17,17,17,17,34,0,0,0,0,0,0,0,16,0,0,0,0,0,15,15,16,16,16,17,18,18,19,15,12,12,12,8,8,12,8,8,12,9,4,4,7,10,13,17,4,14,11,7,11,4,7,17,3,3,3,3,17,3,10,19,10,6,13,3,9,9,3,3,9,11,3,3,6,9,3,25,11,11,9,12,14,5,3,5,7,9,11,9,5,6,7,10,15,11,8,10,12,10,12,10,7,2,13,2,5,5,5,25,7,5,5,7,7,12,5,12,2,2,2,7,2,5,7,5,2,10,7,2,7,12,3,9,8,3,1,7,4,4,2,4,10,4,4,3,6,9,1,9,12,3,5,3,5,3,11,7,7,6,10,5,5,4,2,5,6,6,6,7,7,1,3,5,7,2,7,5,2,1,2,5,2,4,4,1,1,8,11,6,10,9,5,7,4,7,6,6,6,4,5,5,4,4,8,10,9,9,7,12,3,8,10,10,5,5,2,5,6,8,7,4,6,5,6,7,8,1,3,8,6,5,6,6,5,6,7,9,4,11,7,5,7,4,5,9,4,4,6,9,6,6,7,9,8,8,9,6,9,2,2,3,9,7,7,12,7,8,5,7,6,10,3,11,6,5,6,10,6,8,8,10,8,8,9,6,9,3,8,7,9,4,6,4,5,4,2,3,5,5,5,4,7,3,8,6,4,8,4,3,6,5,5,6,3,3,5,5,5,2,3,1,4,8,5,5,4,3,3,4,5,6,8,6,6,1,1,5,3,3,3,3,1,1,6,2,2,2,2,1,1,7,2,2,1,2,1,1,8,2,2,1,2,1,1,9,2,2,1,2,1,1,10,2,2,1,2,1,1,11,2,2,1,2,1,1,12,2,2,1,2,1,1,13,2,2,1,2,1,1,13,2,2,1,2,1,1,13,2,2,1,2,1,1,13,2,2,1,2,1,1,13,2,2,1,2,1,1,13,2,2,1,2,1,1
RJ,0,0,0,0,0,0,0,64,82,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,22,22,22,0,0,0,0,0,0,0,0,0,0,0,37,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,22,19,19,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,36,70,17,0,0,0,0,0,17,16,17,0,0,0,0,0,0,0,0,0,0,18,36,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,15,16,16,16,16,16,16,16,16,16,16,15,16,18,19,20,14,14,14,14,14,14,14,31,0,0,0,0,0,0,0,27,14,0,0,0,0,0,0,13,16,18,21,23,26,0,0,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,13,13,20,27,15,15,15,15,14,14,14,14,14,14,14,15,4,4,11,4,4,4,3,10,7,4,3,3,3,6,3,3,3,12,6,3,6,17,3,3,4,6,3,3,3,8,5,2,15,5,2,7,2,7,5,10,10,8,7,10,7,2,10,17,2,5,5,8,5,2,2,2,5,2,4,6,7,5,7,2,2,2,6,9,2,4,4,7,7,8,9,13,6,2,4,4,4,4,13,2,2,10,6,4,8,2,4,6,8,2,4,6,14,5,11,3,2,6,9,6,4,4,1,3,3,5,5,3,5,7,4,4,5,4,6,3,5,6,7,6,1,6,2,3,6,6,7,3,6,5,7,3,1,2,3,9,7,4,10,7,3,4,2,2,4,2,3,3,2,4,7,8,7,8,3,3,5,7,7,4,9,5,3,6,4,8,7,4,3,8,2,4,6,6,3,11,3,4,2,7,7,5,1,6,4,3,5,7,3,8,8,4,4,5,6,6,7,10,3,5,3,4,6,4,6,6,7,5,3,5,2,4,5,8,3,4,5,7,5,11,4,8,4,4,4,5,3,12,5,5,6,6,6,6,7,10,6,6,8,6,7,3,5,6,5,7,2,5,1,6,3,5,3,6,7,5,5,3,7,4,4,6,7,4,6,8,3,2,4,3,10,4,5,7,6,4,6,8,3,5,4,4,5,6,8,8,6,5,9,3,10,4,7,8,4,2,4,5,8,6,4,1,1,6,3,4,3,1,-0,16,4,4,1,-0,5,6,4,4,2,1,3,3,3,3,2,1,2,2,2,3,3,2,2,1,1,4,3,4,3,1,-0,12,4,4,2,1,-1,52,5,4,-1,-0,42,6,4,-0,-3,49,6,4,-0,-2,44,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0,-2,45,6,4,-0
SP,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,23,24,24,25,33,41,49,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,11,10,10,10,10,0,0,0,0,0,10,9,9,9,9,9,17,8,8,0,0,0,0,0,15,14,14,14,13,13,13,13,13,13,13,13,16,19,22,24,10,10,10,10,11,14,17,19,20,11,0,0,0,0,0,0,17,10,8,8,17,9,9,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,16,8,8,8,8,8,7,16,7,7,7,7,0,0,0,0,0,7,7,7,7,7,8,11,15,14,14,7,10,14,7,7,7,7,7,20,20,21,22,23,7,7,7,6,7,7,7,10,7,7,7,6,6,6,6,6,6,6,6,6,6,6,8,10,13,15,17,11,11,5,6,6,9,13,16,18,11,11,5,5,16,10,5,16,5,5,5,16,6,6,8,11,12,5,6,8,9,11,8,8,0,0,4,8,4,4,7,10,4,4,16,12,12,12,12,12,4,5,6,6,7,8,4,4,4,4,4,13,8,4,4,6,8,4,4,4,7,11,7,4,7,4,4,4,4,4,4,3,4,5,7,4,4,2,2,4,2,3,5,2,5,7,3,6,1,3,6,4,5,4,5,1,3,5,5,3,11,8,10,3,9,4,9,3,3,3,5,6,3,5,9,10,11,5,7,10,9,7,7,10,3,3,3,3,4,5,5,6,6,6,7,1,7,5,9,3,7,7,4,7,4,6,7,5,5,6,3,7,5,10,3,4,5,5,7,7,5,4,4,7,13,5,6,7,6,5,7,4,4,4,2,2,7,4,5,3,4,5,6,7,3,4,4,6,5,2,4,5,5,5,4,6,4,3,3,3,5,5,8,4,6,5,5,6,5,6,4,6,6,6,7,3,6,8,6,8,3,6,6,4,6,4,2,5,2,4,6,3,2,2,4,5,8,4,4,6,4,3,3,6,6,7,5,10,6,6,4,7,7,5,6,5,5,8,6,5,4,3,4,7,6,5,4,4,6,3,9,8,6,6,5,5,3,3,8,7,5,6,6,6,5,5,5,6,6,7,6,7,6,6,6,6,10,7,6,4,8,6,3,5,5,5,6,9,8,10,5,7,10,8,5,6,4,7,9,4,8,6,7,6,6,8,8,8,4,6,4,4,7,9,6,6,7,10,3,3,2,3,4,3,4,4,5,4,5,4,5,5,5,4,5,3,4,6,6,7,5,5,3,4,5,4,6,5,4,5,5,4,5,5,6,4,4,5,5,4,3,3,2,2,2,3,2,2,2,2,1,1,3,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2,1,1,3,1,1,2,2,1,1,2,2
