DOR NO CORPO
ES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,98,0,0,0,0,0,10,14,19,0,0,0,0,0,9,9,9,9,9,9,9,0,0,0,0,0,9,8,8,8,8,8,8,12,16,8,8,7,7,7,7,12,17,22,7,7,8,7,0,0,0,0,0,0,25,22,22,22,22,22,15,15,7,7,7,7,7,7,7,7,7,7,7,7,7,11,16,21,13,13,13,13,7,7,7,7,7,6,6,6,6,6,6,6,6,6,8,9,10,11,6,6,6,6,7,7,8,0,0,9,9,9,9,21,8,8,17,16,16,17,20,24,16,8,8,8,8,24,16,16,15,8,8,8,8,8,8,8,8,8,8,8,8,8,23,15,15,8,8,8,11,15,7,7,7,7,8,8,9,9,8,7,7,6,7,6,12,19,7,6,6,6,18,6,9,12,6,6,6,13,14,8,8,8,8,12,15,15,7,7,7,7,7,15,15,15,30,7,7,11,15,7,7,22,22,8,7,15,23,8,8,9,15,7,7,7,22,14,14,14,14,14,14,15,7,7,7,21,14,7,14,6,13,7,7,7,20,13,13,34,7,10,13,7,26,7,7,7,13,6,6,7,10,13,17,20,7,12,18,6,28,7,25,8,0,20,12,26,13,22,12,24,18,18,12,25,23,18,30,19,12,6,18,18,11,11,6,12,17,11,6,6,6,6,6,12,18,12,15,18,11,11,34,5,23,22,11,22,1,3,7,3,2,2,3,2,2,6,5,4,5,4,5,3,11,2,5,9,3,6,1,2,5,2,2,2,3,2,2,5,3,3,3,2,5,2,5,2,3,6,2,5,1,2,5,2,2,2,3,2,2,5,2,2,3,1,5,2,4,2,2,6,1,4,1,2,6,1,2,2,3,2,2,5,2,2,3,1,5,2,4,2,1,7,1,3,1,2,7,1,2,2,3,2,2,5,2,2
MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,21,19,19,19,18,18,0,0,0,0,0,22,20,20,20,20,20,19,19,19,19,18,18,18,18,18,19,18,18,18,18,18,19,19,0,0,0,0,0,0,0,0,0,0,18,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18,18,18,18,18,18,18,17,17,17,16,16,16,21,25,29,34,17,16,16,16,16,0,0,0,0,0,0,0,0,16,16,16,15,15,16,16,16,16,16,16,17,17,0,0,0,0,0,19,0,0,0,67,20,20,20,0,0,0,0,0,20,19,19,20,20,20,20,20,20,30,39,0,0,0,0,0,21,20,20,20,20,0,0,0,0,0,20,19,19,19,19,20,18,18,0,0,0,0,0,20,5,5,5,5,14,9,5,14,5,6,8,9,5,4,8,8,9,4,15,13,22,4,13,13,9,9,10,11,12,14,16,4,4,4,12,4,8,4,4,15,7,3,11,18,3,3,18,17,11,10,10,3,17,11,8,7,6,6,19,10,6,6,15,6,8,9,12,3,3,10,15,6,12,15,6,3,6,18,3,6,3,6,6,10,15,6,15,3,8,6,12,8,8,14,16,6,14,8,9,11,9,8,8,17,14,9,13,17,9,3,5,10,7,10,7,6,11,11,6,19,8,11,2,6,13,5,9,9,8,9,8,5,3,7,3,7,9,4,10,11,10,7,5,4,14,14,6,5,10,3,4,9,4,3,11,5,7,6,7,11,5,9,12,10,9,9,6,14,12,11,7,9,8,7,9,9,6,13,6,5,10,5,8,12,11,3,8,7,6,4,8,9,11,14,14,7,8,8,10,12,13,1,7,15,8,11,4,7,16,7,11,19,10,7,12,7,8,4,6,9,9,9,13,4,13,12,18,14,13,12,14,7,15,18,15,11,17,15,19,12,15,17,17,7,8,8,8,15,17,18,12,14,11,11,8,9,5,14,13,13,17,9,12,21,20,13,16,16,21,20,24,17,14,20,19,21,24,25,28,27,14,13,23,14,19,12,6,10,4,11,13,15,10,13,15,14,8,7,10,10,14,7,17,6,9,11,7,9,3,2,7,3,3,5,3,4,2,2,4,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,2,3,2
RJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,52,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,21,21,22,22,23,23,0,0,0,0,0,0,23,0,0,0,0,0,22,23,24,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,21,21,19,19,24,29,34,39,0,0,0,0,0,0,20,0,0,0,0,0,0,21,21,21,21,20,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,36,44,53,17,17,17,17,17,17,18,18,50,18,17,17,24,32,16,16,20,23,26,30,33,0,0,0,0,0,0,16,16,17,0,0,0,0,0,0,17,18,17,17,17,18,20,22,24,24,0,0,0,9,9,9,9,9,9,18,18,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,13,18,9,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,9,9,10,11,11,11,4,4,8,4,4,11,6,6,5,8,4,4,6,6,4,9,6,7,5,2,2,4,7,9,3,7,4,2,2,3,3,8,6,6,6,6,6,3,1,2,2,3,9,3,3,10,4,4,3,3,6,6,7,4,4,4,6,5,9,9,4,4,4,4,12,11,8,10,3,5,4,7,10,4,7,4,4,11,5,4,10,5,5,6,10,4,5,6,9,7,9,6,5,6,6,2,4,3,3,2,7,2,4,6,6,9,6,3,8,14,6,9,11,12,10,6,5,10,6,11,13,5,14,1,8,4,10,3,6,8,4,6,8,8,4,6,6,5,6,6,5,2,7,10,6,8,10,4,4,9,5,6,3,4,6,12,6,9,5,4,9,8,11,8,4,7,3,10,8,12,4,8,5,8,7,4,12,7,4,3,2,8,9,10,7,6,7,7,8,9,9,5,18,7,9,5,4,4,10,6,7,6,5,4,11,12,8,8,8,14,10,8,8,13,11,13,11,16,14,11,12,9,10,24,21,14,21,24,13,14,15,11,10,10,11,12,11,12,11,6,14,11,15,11,8,16,6,12,8,15,10,18,13,23,14,12,19,14,14,25,29,15,18,12,16,21,16,17,17,31,25,22,29,31,29,28,18,15,18,19,9,8,8,12,12,12,16,13,12,13,22,10,9,18,11,14,12,10,3,14,11,13,11,11,3,3,1,7,4,4,4,4,2,2,1,5,2,3,3,3,2,2,1,4,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3,2,3,2,2,2,2,1,3
SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,20,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,13,13,16,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,16,15,15,15,15,15,0,0,0,0,0,0,15,14,14,13,26,13,13,13,13,14,15,13,13,13,12,12,12,13,13,13,16,19,21,23,25,13,11,11,11,11,11,12,11,25,22,11,11,11,12,11,11,11,12,11,11,11,11,11,11,11,11,11,33,11,11,15,20,10,10,10,10,10,0,0,0,0,0,0,0,0,0,10,11,15,10,10,20,20,19,19,10,10,9,9,9,9,9,9,9,9,8,8,8,8,8,24,8,8,8,8,13,18,34,8,8,41,24,24,24,15,15,15,8,8,13,18,16,16,18,8,9,11,14,17,9,0,0,0,0,13,20,26,8,8,26,6,6,6,24,7,13,6,6,6,13,6,6,13,7,7,7,7,7,7,6,9,13,6,6,6,6,6,7,6,6,11,22,32,17,17,11,11,11,11,11,12,7,7,5,5,8,6,9,6,8,8,8,8,7,8,3,5,14,9,8,15,14,9,2,6,1,9,12,11,4,6,10,10,11,6,10,7,5,9,5,8,7,15,4,12,3,6,8,13,17,1,13,5,12,11,9,13,5,8,13,7,10,10,8,6,9,13,7,11,6,11,10,8,8,9,8,11,7,7,7,7,3,13,11,10,12,9,17,9,11,13,18,10,9,9,13,9,15,12,13,13,16,9,6,5,10,14,12,13,6,6,10,8,7,9,10,10,10,10,9,8,9,15,7,10,13,9,10,6,6,8,8,6,8,7,5,7,3,8,10,6,8,7,8,11,5,5,5,9,8,7,7,3,9,8,8,7,6,8,7,15,10,13,6,10,8,8,7,13,11,13,11,10,9,13,9,13,10,16,15,10,12,14,7,7,9,7,5,9,4,11,8,6,10,10,11,11,6,14,8,10,9,7,10,11,11,6,9,10,8,11,11,8,13,12,11,11,13,14,8,17,15,14,18,17,24,21,25,16,17,20,13,17,13,14,11,8,9,14,11,14,8,10,14,13,13,14,11,11,14,11,13,12,15,9,13,11,14,13,16,17,14,13,11,14,17,12,15,16,10,23,15,15,19,22,24,21,28,37,32,20,13,15,17,13,10,13,10,10,14,12,14,19,10,9,14,11,17,16,19,11,19,12,17,16,13,16,15,20,-1,-1,32,-1,-1,33,-1,-2,32,-1,-1,33,-0,-2,33,-1,-1,32,-1,-1,32,-0,-2,24,2,-2,11,6,-2,-3,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,31,-1,-2,24,2,-2,9,8,-2,-3,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,30,-1,-2,23,2,-2,9,8,-2,-3,34,-2,-2,34,-2,-2,34,-2,-2,34,-2,-2,34,-2
