Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2009-05-31,3,0,2,0,0
2009-06-07,4,0,1,0,0
2009-06-14,3,0,2,0,0
2009-06-21,3,0,2,0,0
2009-06-28,1,0,1,0,0
2009-07-05,1,0,1,0,0
2009-07-12,2,0,2,1,0
2009-07-19,3,0,1,0,0
2009-07-26,4,0,1,0,0
2009-08-02,3,0,1,1,0
2009-08-09,3,0,2,1,0
2009-08-16,3,0,2,0,0
2009-08-23,5,0,1,0,0
2009-08-30,5,0,1,0,0
2009-09-06,3,0,2,0,0
2009-09-13,5,0,2,0,0
2009-09-20,2,0,2,0,0
2009-09-27,2,0,1,0,0
2009-10-04,3,0,1,1,0
2009-10-11,2,0,2,1,0
2009-10-18,4,0,2,1,0
2009-10-25,3,0,1,1,0
2009-11-01,4,0,3,1,0
2009-11-08,3,0,2,1,0
2009-11-15,2,0,3,1,0
2009-11-22,3,0,3,0,0
2009-11-29,4,0,2,0,0
2009-12-06,2,0,1,0,0
2009-12-13,1,0,1,0,0
2009-12-20,2,0,1,0,0
2009-12-27,2,0,1,0,0
2010-01-03,41,0,7,0,0
2010-01-10,36,0,10,0,0
2010-01-17,29,0,13,0,0
2010-01-24,40,0,9,0,0
2010-01-31,30,0,18,6,0
2010-02-07,31,0,19,6,0
2010-02-14,37,0,15,6,0
2010-02-21,64,0,18,6,0
2010-02-28,59,0,6,6,0
2010-03-07,53,0,26,0,0
2010-03-14,43,0,29,0,0
2010-03-21,46,0,23,0,0
2010-03-28,48,0,25,0,0
2010-04-04,45,0,12,0,0
2010-04-11,30,0,12,12,0
2010-04-18,100,0,12,6,0
2010-04-25,27,0,48,6,0
2010-05-02,19,0,19,6,0
2010-05-09,38,0,25,6,0
2010-05-16,40,0,36,6,0
2010-05-23,55,0,21,6,0
2010-05-30,23,0,23,6,0
2010-06-06,65,0,16,6,0
2010-06-13,49,0,29,7,0
2010-06-20,66,0,22,6,0
2010-06-27,39,0,13,6,0
2010-07-04,40,0,12,6,0
2010-07-11,41,0,10,6,0
2010-07-18,19,0,10,6,0
2010-07-25,31,0,12,6,0
2010-08-01,28,0,6,6,0
2010-08-08,48,0,9,6,0
2010-08-15,44,0,27,6,0
2010-08-22,41,0,17,6,0
2010-08-29,40,0,11,6,0
2010-09-05,47,0,22,7,0
2010-09-12,80,0,26,9,0
2010-09-19,34,0,9,6,0
2010-09-26,39,0,25,6,0
2010-10-03,53,0,19,6,0
2010-10-10,41,0,12,6,0
2010-10-17,55,0,8,5,0
2010-10-24,36,0,11,11,0
2010-10-31,54,0,18,5,0
2010-11-07,30,0,8,5,0
2010-11-14,43,0,29,6,0
2010-11-21,30,0,14,11,0
2010-11-28,45,0,11,7,0
2010-12-05,26,0,9,7,0
2010-12-12,24,0,9,7,0
2010-12-19,29,0,7,7,0
2010-12-26,40,0,8,7,0
2011-01-02,30,0,8,2,0
2011-01-09,33,0,5,5,0
2011-01-16,41,0,10,2,0
2011-01-23,39,0,9,3,0
2011-01-30,37,0,6,4,0
2011-02-06,40,0,12,2,0
2011-02-13,42,0,10,2,0
2011-02-20,46,0,7,4,0
2011-02-27,56,0,11,5,0
2011-03-06,31,0,9,5,0
2011-03-13,43,0,11,2,0
2011-03-20,46,0,18,2,0
2011-03-27,46,0,9,2,0
2011-04-03,58,0,11,2,0
2011-04-10,43,0,9,4,0
2011-04-17,46,0,10,5,0
2011-04-24,36,0,14,4,0
