Date,diarreia,dor no corpo,fadiga,irritacao sobre a pele,mal estar
2005-12-18,25.0,0.0,26.0,0.0,0.0
2005-12-25,24.0,0.0,29.0,0.0,0.0
2006-01-01,24.0,0.0,24.0,0.0,0.0
2006-01-08,22.0,0.0,22.0,0.0,0.0
2006-01-15,22.0,0.0,22.0,0.0,0.0
2006-01-22,65.0,0.0,22.0,0.0,0.0
2006-01-29,19.0,0.0,19.0,0.0,0.0
2006-02-05,19.0,0.0,19.0,0.0,0.0
2006-02-12,29.0,0.0,19.0,0.0,0.0
2006-02-19,38.0,0.0,22.0,0.0,0.0
2006-02-26,23.0,0.0,24.0,0.0,0.0
2006-03-05,18.0,0.0,27.0,0.0,0.0
2006-03-12,17.0,0.0,30.0,0.0,0.0
2006-03-19,16.0,0.0,33.0,0.0,16.0
2006-03-26,16.0,0.0,17.0,0.0,17.0
2006-04-02,17.0,0.0,17.0,0.0,18.0
2006-04-09,37.0,0.0,18.0,0.0,18.0
2006-04-16,18.0,0.0,49.0,0.0,16.0
2006-04-23,64.0,0.0,80.0,0.0,16.0
2006-04-30,18.0,0.0,16.0,0.0,18.0
2006-05-07,48.0,0.0,16.0,0.0,15.0
2006-05-14,16.0,0.0,16.0,0.0,15.0
2006-05-21,15.0,0.0,30.0,0.0,15.0
2006-05-28,15.0,15.0,15.0,0.0,15.0
2006-06-04,15.0,0.0,15.0,0.0,15.0
2006-06-11,24.0,0.0,19.0,0.0,18.0
2006-06-18,33.0,0.0,23.0,0.0,17.0
2006-06-25,17.0,0.0,26.0,0.0,0.0
2006-07-02,17.0,0.0,30.0,0.0,0.0
2006-07-09,17.0,0.0,34.0,0.0,0.0
2006-07-16,34.0,0.0,15.0,0.0,0.0
2006-07-23,32.0,0.0,15.0,0.0,0.0
2006-07-30,47.0,0.0,15.0,0.0,16.0
2006-08-06,15.0,0.0,15.0,0.0,22.0
2006-08-13,14.0,14.0,14.0,0.0,29.0
2006-08-20,55.0,0.0,14.0,0.0,13.0
2006-08-27,15.0,0.0,13.0,0.0,13.0
2006-09-03,15.0,0.0,13.0,0.0,12.0
2006-09-10,13.0,0.0,13.0,0.0,12.0
2006-09-17,12.0,0.0,12.0,0.0,12.0
2006-09-24,12.0,0.0,12.0,0.0,0.0
2006-10-01,25.0,0.0,12.0,0.0,0.0
2006-10-08,14.0,0.0,12.0,0.0,0.0
2006-10-15,12.0,0.0,12.0,0.0,0.0
2006-10-22,12.0,0.0,18.0,0.0,0.0
2006-10-29,13.0,0.0,24.0,0.0,0.0
2006-11-05,18.0,0.0,30.0,0.0,0.0
2006-11-12,24.0,12.0,36.0,0.0,12.0
2006-11-19,12.0,12.0,12.0,0.0,12.0
2006-11-26,12.0,12.0,22.0,0.0,15.0
2006-12-03,12.0,12.0,12.0,0.0,19.0
