Date,arritmia,dor abdominal,sangue nas fezes,surgimento de nodulos,tosse
2004-01-04,0.0,0.0,0.0,0.0,0.0
2004-01-11,0.0,0.0,0.0,0.0,0.0
2004-01-18,0.0,0.0,0.0,0.0,0.0
2004-01-25,0.0,0.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,0.0,0.0
2004-02-08,0.0,0.0,0.0,0.0,0.0
2004-02-15,0.0,0.0,0.0,0.0,46.0
2004-02-22,64.0,0.0,64.0,0.0,41.0
2004-02-29,0.0,0.0,82.0,0.0,41.0
2004-03-07,0.0,0.0,100.0,0.0,41.0
2004-03-14,0.0,0.0,0.0,0.0,41.0
2004-03-21,0.0,0.0,0.0,0.0,0.0
2004-03-28,0.0,0.0,0.0,0.0,0.0
2004-04-04,0.0,0.0,0.0,0.0,0.0
2004-04-11,0.0,0.0,0.0,0.0,0.0
2004-04-18,0.0,0.0,0.0,0.0,0.0
2004-04-25,0.0,0.0,0.0,0.0,0.0
2004-05-02,0.0,0.0,0.0,0.0,0.0
2004-05-09,38.0,0.0,0.0,0.0,0.0
2004-05-16,0.0,0.0,0.0,0.0,0.0
2004-05-23,0.0,0.0,0.0,0.0,0.0
2004-05-30,0.0,35.0,0.0,0.0,0.0
2004-06-06,0.0,38.0,0.0,0.0,0.0
2004-06-13,0.0,0.0,0.0,0.0,34.0
2004-06-20,0.0,0.0,0.0,0.0,37.0
2004-06-27,0.0,0.0,0.0,0.0,39.0
2004-07-04,38.0,0.0,0.0,0.0,42.0
2004-07-11,34.0,0.0,0.0,0.0,45.0
2004-07-18,34.0,0.0,0.0,0.0,39.0
2004-07-25,34.0,0.0,0.0,0.0,33.0
2004-08-01,34.0,0.0,0.0,0.0,33.0
2004-08-08,34.0,0.0,0.0,0.0,33.0
2004-08-15,33.0,0.0,0.0,0.0,33.0
2004-08-22,33.0,0.0,0.0,0.0,33.0
2004-08-29,0.0,0.0,0.0,0.0,31.0
2004-09-05,0.0,0.0,0.0,0.0,31.0
2004-09-12,0.0,0.0,0.0,0.0,31.0
2004-09-19,0.0,0.0,0.0,0.0,0.0
2004-09-26,0.0,0.0,0.0,0.0,0.0
2004-10-03,0.0,0.0,0.0,0.0,0.0
2004-10-10,0.0,0.0,0.0,0.0,0.0
2004-10-17,30.0,0.0,0.0,0.0,0.0
2004-10-24,32.0,0.0,0.0,0.0,36.0
2004-10-31,34.0,0.0,0.0,0.0,35.0
2004-11-07,0.0,0.0,0.0,0.0,35.0
2004-11-14,0.0,0.0,35.0,0.0,35.0
2004-11-21,0.0,0.0,0.0,0.0,0.0
2004-11-28,0.0,0.0,0.0,0.0,0.0
2004-12-05,0.0,0.0,0.0,0.0,0.0
2004-12-12,0.0,0.0,0.0,0.0,0.0
2004-12-19,0.0,0.0,0.0,0.0,0.0
2004-12-26,0.0,0.0,0.0,0.0,0.0
2005-01-02,0.0,0.0,0.0,0.0,0.0
2005-01-09,0.0,0.0,0.0,0.0,0.0
2005-01-16,0.0,0.0,32.0,0.0,0.0
2005-01-23,0.0,0.0,0.0,0.0,0.0
2005-01-30,0.0,60.0,0.0,0.0,0.0
2005-02-06,0.0,0.0,0.0,0.0,0.0
2005-02-13,27.0,0.0,0.0,0.0,0.0
2005-02-20,26.0,0.0,0.0,0.0,28.0
2005-02-27,26.0,0.0,0.0,0.0,24.0
2005-03-06,26.0,0.0,0.0,0.0,24.0
2005-03-13,26.0,0.0,0.0,0.0,24.0
2005-03-20,26.0,0.0,0.0,0.0,0.0
2005-03-27,0.0,0.0,0.0,0.0,0.0
2005-04-03,0.0,0.0,0.0,0.0,0.0
2005-04-10,0.0,23.0,0.0,0.0,0.0
2005-04-17,0.0,0.0,0.0,0.0,0.0
2005-04-24,0.0,0.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0
2005-05-08,0.0,0.0,0.0,0.0,0.0
2005-05-15,0.0,0.0,0.0,0.0,0.0
2005-05-22,0.0,0.0,0.0,0.0,23.0
2005-05-29,0.0,0.0,21.0,0.0,21.0
2005-06-05,0.0,0.0,21.0,0.0,21.0
2005-06-12,0.0,0.0,21.0,0.0,21.0
2005-06-19,0.0,0.0,21.0,0.0,43.0
2005-06-26,0.0,0.0,22.0,0.0,65.0
2005-07-03,0.0,0.0,22.0,0.0,22.0
2005-07-10,22.0,0.0,22.0,0.0,22.0
2005-07-17,21.0,0.0,0.0,0.0,21.0
2005-07-24,21.0,0.0,0.0,0.0,21.0
2005-07-31,21.0,0.0,0.0,0.0,21.0
2005-08-07,21.0,0.0,0.0,0.0,20.0
2005-08-14,22.0,39.0,0.0,0.0,20.0
2005-08-21,22.0,19.0,0.0,0.0,22.0
2005-08-28,19.0,19.0,0.0,0.0,19.0
2005-09-04,23.0,19.0,0.0,0.0,18.0
2005-09-11,27.0,18.0,0.0,0.0,18.0
2005-09-18,32.0,21.0,0.0,0.0,18.0
2005-09-25,36.0,25.0,0.0,0.0,18.0
2005-10-02,20.0,29.0,37.0,0.0,18.0
2005-10-09,20.0,32.0,19.0,0.0,18.0
2005-10-16,18.0,36.0,19.0,0.0,18.0
2005-10-23,18.0,0.0,19.0,0.0,19.0
2005-10-30,18.0,0.0,19.0,0.0,20.0
2005-11-06,19.0,0.0,0.0,0.0,20.0
2005-11-13,19.0,0.0,0.0,0.0,17.0
2005-11-20,0.0,0.0,0.0,0.0,17.0
2005-11-27,0.0,18.0,0.0,0.0,18.0
2005-12-04,0.0,0.0,0.0,0.0,38.0
