Date,febre,manchas vermelhas pelo corpo,moleza,nausea,perda de paladar e apetite
2007-07-22,6,0,6,3,0
2007-07-29,9,0,4,4,0
2007-08-05,10,0,5,2,0
2007-08-12,10,0,3,2,0
2007-08-19,9,0,3,2,0
2007-08-26,5,0,4,2,0
2007-09-02,8,0,4,2,0
2007-09-09,5,0,2,2,0
2007-09-16,13,0,4,2,0
2007-09-23,9,0,3,3,0
2007-09-30,2,0,8,2,0
2007-10-07,9,0,3,2,0
2007-10-14,6,0,7,3,0
2007-10-21,12,0,6,2,0
2007-10-28,7,0,6,1,0
2007-11-04,17,0,6,1,0
2007-11-11,6,0,4,1,0
2007-11-18,7,0,10,2,0
2007-11-25,8,0,4,2,0
2007-12-02,3,0,5,3,0
2007-12-09,4,0,2,3,0
2007-12-16,4,0,2,2,0
2007-12-23,8,0,5,2,0
2007-12-30,9,0,2,2,0
2008-01-06,51,0,2,2,0
2008-01-13,100,0,3,2,0
2008-01-20,51,0,5,2,0
2008-01-27,28,0,2,1,0
2008-02-03,19,0,2,1,0
2008-02-10,13,0,2,1,0
2008-02-17,19,0,3,1,0
2008-02-24,15,0,2,1,0
2008-03-02,8,0,2,1,0
2008-03-09,24,0,5,1,0
2008-03-16,20,0,4,1,0
2008-03-23,30,0,7,1,0
2008-03-30,30,0,4,1,0
2008-04-06,23,0,5,0,0
2008-04-13,18,0,6,0,0
2008-04-20,8,0,5,0,0
2008-04-27,8,0,7,0,0
2008-05-04,7,0,6,0,0
2008-05-11,15,0,5,0,0
2008-05-18,12,0,3,3,0
2008-05-25,9,0,3,3,0
2008-06-01,8,0,6,3,0
2008-06-08,7,0,7,1,0
2008-06-15,10,0,4,1,0
2008-06-22,9,1,4,1,0
2008-06-29,10,0,3,1,0
2008-07-06,8,0,3,2,0
2008-07-13,2,0,2,2,0
2008-07-20,4,0,4,0,0
2008-07-27,6,0,4,0,0
2008-08-03,12,0,6,0,0
2008-08-10,6,0,6,0,0
2008-08-17,7,0,3,0,0
2008-08-24,9,0,2,0,0
2008-08-31,10,0,6,0,0
2008-09-07,8,0,5,0,0
2008-09-14,11,0,4,1,0
2008-09-21,6,0,4,1,0
2008-09-28,9,0,6,1,0
2008-10-05,4,0,3,1,0
2008-10-12,8,0,4,1,0
2008-10-19,5,0,3,2,0
2008-10-26,10,0,5,2,0
2008-11-02,9,0,4,1,0
2008-11-09,6,0,5,1,0
2008-11-16,6,0,6,1,0
2008-11-23,8,0,10,1,0
2008-11-30,3,0,4,3,0
2008-12-07,8,0,5,2,0
2008-12-14,11,0,2,2,0
2008-12-21,3,0,2,2,0
2008-12-28,3,0,7,2,0
2009-01-04,3,0,3,2,0
2009-01-11,14,0,3,2,0
2009-01-18,11,0,3,1,0
2009-01-25,10,0,1,1,0
2009-02-01,5,0,1,0,0
2009-02-08,3,0,1,0,0
2009-02-15,6,0,3,0,0
2009-02-22,10,0,6,0,0
2009-03-01,8,0,4,0,0
2009-03-08,11,0,3,0,0
2009-03-15,5,0,7,0,0
2009-03-22,13,0,5,0,0
2009-03-29,13,0,4,0,0
2009-04-05,14,0,6,1,0
2009-04-12,23,0,6,1,0
2009-04-19,7,0,5,1,0
2009-04-26,14,0,3,1,0
2009-05-03,13,0,5,1,0
2009-05-10,16,0,3,1,0
2009-05-17,11,0,3,1,0
2009-05-24,11,0,5,1,0
2009-05-31,5,0,4,1,0
2009-06-07,6,0,7,1,0
2009-06-14,10,0,2,1,0
2009-06-21,9,0,4,1,0
2009-06-28,7,0,2,1,0
2009-07-05,8,0,4,1,0
2009-07-12,5,0,2,1,0
2009-07-19,10,0,2,1,0
2009-07-26,8,0,2,1,0
2009-08-02,15,0,2,0,0
2009-08-09,12,0,3,0,0
2009-08-16,12,0,2,0,0
2009-08-23,12,0,3,0,0
2009-08-30,10,0,4,0,0
2009-09-06,9,0,4,1,0
2009-09-13,10,0,5,1,0
2009-09-20,9,0,3,1,0
2009-09-27,7,0,6,1,0
2009-10-04,7,0,3,1,0
2009-10-11,9,0,4,1,0
2009-10-18,11,0,4,1,0
2009-10-25,7,0,5,0,0
2009-11-01,10,0,6,0,0
2009-11-08,12,0,4,0,0
2009-11-15,12,0,6,0,0
2009-11-22,10,0,6,0,0
2009-11-29,8,0,2,0,0
2009-12-06,7,0,4,0,0
2009-12-13,3,0,1,0,0
2009-12-20,3,0,2,0,0
2009-12-27,2,0,2,2,0
2010-01-03,27,0,27,0,0
2010-01-10,56,0,12,0,0
2010-01-17,37,0,31,25,0
2010-01-24,77,0,24,12,0
2010-01-31,55,0,49,0,0
2010-02-07,42,12,24,0,0
2010-02-14,80,11,47,0,0
2010-02-21,28,11,28,0,0
2010-02-28,62,11,28,0,0
2010-03-07,97,11,23,0,0
2010-03-14,92,11,33,22,0
2010-03-21,99,0,42,10,0
2010-03-28,88,0,18,11,0
2010-04-04,88,0,22,11,0
2010-04-11,70,0,54,11,0
2010-04-18,100,0,22,11,0
2010-04-25,92,0,54,22,0
2010-05-02,72,0,17,12,0
2010-05-09,62,0,34,12,0
2010-05-16,92,0,11,12,0
2010-05-23,70,0,27,12,0
2010-05-30,71,0,71,12,0
2010-06-06,86,0,40,11,0
2010-06-13,81,0,64,12,0
2010-06-20,60,0,44,11,0
2010-06-27,61,0,33,11,0
2010-07-04,59,0,32,11,0
2010-07-11,82,0,22,11,0
2010-07-18,72,0,45,11,0
2010-07-25,66,0,28,11,0
2010-08-01,28,0,17,11,0
2010-08-08,27,0,27,11,0
2010-08-15,81,0,44,10,0
2010-08-22,78,10,36,10,0
2010-08-29,90,0,31,16,0
2010-09-05,100,0,35,10,0
2010-09-12,72,0,31,10,0
2010-09-19,93,0,26,11,0
2010-09-26,40,0,10,11,0
2010-10-03,46,0,36,11,0
2010-10-10,76,0,27,11,0
2010-10-17,55,0,30,25,0
2010-10-24,90,0,45,10,0
2010-10-31,65,0,38,10,0
2010-11-07,66,0,30,10,0
2010-11-14,38,11,43,10,0
2010-11-21,45,0,45,10,0
2010-11-28,56,0,15,11,0
2010-12-05,64,0,11,11,0
2010-12-12,44,0,11,11,0
2010-12-19,67,0,13,18,0
2010-12-26,78,0,13,26,0
2011-01-02,53,0,16,8,0
2011-01-09,55,0,13,4,0
2011-01-16,67,0,11,5,0
2011-01-23,64,4,11,3,0
2011-01-30,52,3,5,3,0
2011-02-06,50,3,9,5,0
2011-02-13,74,3,8,14,0
2011-02-20,94,3,17,3,0
2011-02-27,60,3,20,3,0
2011-03-06,72,0,13,8,0
2011-03-13,86,0,11,3,0
2011-03-20,80,0,26,3,0
2011-03-27,78,0,14,8,0
2011-04-03,83,0,27,6,0
2011-04-10,79,0,16,3,0
2011-04-17,70,0,15,4,0
2011-04-24,71,3,3,6,0
2011-05-01,65,3,20,5,0
2011-05-08,69,3,24,6,0
2011-05-15,62,3,19,3,0
2011-05-22,58,3,22,3,0
2011-05-29,47,3,21,3,0
2011-06-05,61,3,18,3,0
2011-06-12,49,3,19,3,0
2011-06-19,65,0,12,3,0
2011-06-26,49,0,17,3,0
2011-07-03,42,0,14,3,0
2011-07-10,73,0,10,3,0
2011-07-17,47,0,11,6,0
2011-07-24,30,0,3,6,0
2011-07-31,36,0,5,3,0
2011-08-07,75,0,14,6,0
2011-08-14,57,0,11,3,0
2011-08-21,49,0,10,3,0
2011-08-28,56,0,15,4,0
2011-09-04,55,0,17,6,0
2011-09-11,66,0,15,3,0
2011-09-18,82,0,10,3,0
2011-09-25,52,3,15,5,0
2011-10-02,69,0,19,3,0
2011-10-09,58,0,17,8,0
2011-10-16,64,0,15,5,0
2011-10-23,78,0,8,4,0
2011-10-30,71,0,10,3,0
2011-11-06,80,0,5,3,0
2011-11-13,90,0,15,6,0
2011-11-20,73,3,9,4,0
2011-11-27,87,3,11,4,0
2011-12-04,67,3,12,3,0
2011-12-11,65,3,4,4,0
2011-12-18,64,3,7,3,0
2011-12-25,31,3,5,3,0
2012-01-01,73,3,7,6,0
2012-01-08,53,0,10,2,0
2012-01-15,36,0,10,4,0
2012-01-22,54,0,8,2,0
2012-01-29,40,0,13,4,0
2012-02-05,79,0,4,3,0
2012-02-12,41,0,7,3,0
2012-02-19,64,3,12,3,0
2012-02-26,69,3,15,4,0
2012-03-04,79,2,14,6,0
2012-03-11,77,2,10,4,0
2012-03-18,58,2,5,6,0
2012-03-25,79,2,13,4,0
2012-04-01,85,2,15,3,0
2012-04-08,83,2,12,6,0
2012-04-15,67,2,10,6,0
2012-04-22,69,2,9,4,0
2012-04-29,55,0,9,10,0
2012-05-06,65,0,5,2,0
2012-05-13,58,0,7,5,0
2012-05-20,59,0,9,4,0
2012-05-27,64,0,8,7,0
2012-06-03,59,0,13,8,0
2012-06-10,73,2,7,5,0
2012-06-17,86,2,5,7,0
2012-06-24,98,2,10,5,0
2012-07-01,63,2,11,6,0
2012-07-08,41,0,3,8,0
2012-07-15,50,0,9,3,0
2012-07-22,71,0,12,4,0
2012-07-29,55,0,10,9,0
2012-08-05,65,0,5,2,0
2012-08-12,70,0,6,5,0
2012-08-19,80,0,2,5,0
2012-08-26,61,2,4,5,0
2012-09-02,69,3,8,4,0
2012-09-09,67,0,11,7,0
2012-09-16,69,0,4,5,0
2012-09-23,49,0,6,5,0
2012-09-30,75,0,5,9,0
2012-10-07,68,0,10,4,0
2012-10-14,67,0,9,4,0
2012-10-21,81,4,10,9,0
2012-10-28,70,2,8,7,0
2012-11-04,81,2,10,7,0
2012-11-11,59,2,9,2,0
2012-11-18,67,2,2,5,0
2012-11-25,64,2,2,8,0
2012-12-02,58,2,6,2,0
2012-12-09,65,2,10,2,0
2012-12-16,62,2,6,7,0
2012-12-23,68,3,6,8,0
2012-12-30,66,0,3,7,0
2013-01-06,47,3,4,2,0
2013-01-13,44,3,6,3,0
2013-01-20,39,3,3,2,0
2013-01-27,44,3,3,3,0
2013-02-03,38,3,3,4,0
2013-02-10,44,3,3,5,0
2013-02-17,45,1,6,3,0
2013-02-24,53,1,3,4,0
2013-03-03,47,1,5,2,0
2013-03-10,54,1,6,5,0
2013-03-17,53,2,4,3,0
2013-03-24,58,1,6,2,0
2013-03-31,60,1,5,3,0
2013-04-07,60,2,6,2,0
2013-04-14,53,2,5,3,0
2013-04-21,55,1,4,2,0
2013-04-28,66,2,4,2,0
2013-05-05,53,1,2,3,0
2013-05-12,58,1,2,2,0
2013-05-19,54,2,4,2,0
2013-05-26,54,4,3,3,0
2013-06-02,60,1,3,4,0
2013-06-09,57,1,4,1,0
2013-06-16,43,1,3,4,0
2013-06-23,53,1,3,5,0
2013-06-30,60,1,3,3,0
2013-07-07,60,1,2,3,0
2013-07-14,51,1,3,3,0
2013-07-21,37,1,3,3,0
2013-07-28,45,1,3,4,0
2013-08-04,53,1,2,1,0
2013-08-11,52,1,2,4,0
2013-08-18,64,1,3,4,0
2013-08-25,42,1,3,1,0
2013-09-01,44,1,4,3,0
2013-09-08,66,2,7,5,0
2013-09-15,52,1,5,3,0
2013-09-22,47,1,2,4,0
2013-09-29,54,1,2,2,0
2013-10-06,52,1,2,2,0
2013-10-13,52,1,4,5,0
2013-10-20,59,1,4,3,0
2013-10-27,63,2,4,3,0
2013-11-03,50,2,3,3,0
2013-11-10,55,1,6,3,0
2013-11-17,45,1,4,3,0
2013-11-24,50,2,3,2,0
2013-12-01,57,1,3,2,0
2013-12-08,49,2,2,2,0
2013-12-15,54,2,3,4,0
2013-12-22,47,3,4,4,0
2013-12-29,49,2,3,4,0
2014-01-05,57,1,2,3,0
2014-01-12,45,1,4,2,0
2014-01-19,45,1,3,4,0
2014-01-26,49,1,4,3,0
2014-02-02,49,1,3,3,0
2014-02-09,50,2,4,4,0
2014-02-16,50,2,5,3,0
2014-02-23,55,1,4,5,0
2014-03-02,61,1,4,3,0
2014-03-09,60,1,4,4,0
2014-03-16,61,1,6,4,0
2014-03-23,74,1,4,3,0
2014-03-30,65,1,3,6,0
2014-04-06,70,1,3,1,0
2014-04-13,63,1,5,2,0
2014-04-20,73,1,2,3,0
2014-04-27,65,1,2,4,0
2014-05-04,67,1,3,2,0
2014-05-11,66,1,3,4,0
2014-05-18,75,1,3,4,0
2014-05-25,56,1,3,4,0
2014-06-01,54,1,4,3,0
2014-06-08,59,1,3,3,0
2014-06-15,62,3,3,4,0
2014-06-22,74,1,4,3,0
2014-06-29,59,1,3,3,0
2014-07-06,65,1,4,4,0
2014-07-13,54,1,2,2,0
2014-07-20,54,1,3,5,0
2014-07-27,60,1,1,3,0
2014-08-03,64,1,4,3,0
2014-08-10,58,2,3,4,0
2014-08-17,63,2,2,5,0
2014-08-24,60,1,2,3,0
2014-08-31,62,1,1,3,0
2014-09-07,78,1,5,4,0
2014-09-14,63,2,3,4,0
2014-09-21,71,1,4,3,0
2014-09-28,54,1,4,3,0
2014-10-05,81,1,2,3,0
2014-10-12,67,1,4,4,0
2014-10-19,63,1,2,2,0
2014-10-26,73,1,3,5,0
2014-11-02,66,1,4,2,0
2014-11-09,69,1,2,5,0
2014-11-16,67,1,2,2,0
2014-11-23,62,1,6,3,0
2014-11-30,55,1,2,2,0
2014-12-07,64,1,2,2,0
2014-12-14,62,1,2,6,0
2014-12-21,53,1,3,2,0
2014-12-28,54,2,3,4,0
2015-01-04,55,1,3,4,0
2015-01-11,63,1,3,4,0
2015-01-18,53,1,3,4,0
2015-01-25,58,1,2,3,0
2015-02-01,73,1,4,4,0
2015-02-08,66,1,3,2,0
2015-02-15,67,1,4,5,0
2015-02-22,64,1,4,3,0
2015-03-01,73,1,3,2,0
2015-03-08,74,1,4,3,0
2015-03-15,81,1,4,2,0
2015-03-22,82,1,3,4,0
2015-03-29,94,1,3,2,0
2015-04-05,100,1,4,3,0
2015-04-12,95,1,4,4,0
2015-04-19,100,1,3,3,0
2015-04-26,94,1,3,6,0
2015-05-03,83,1,3,4,0
2015-05-10,87,2,3,2,0
2015-05-17,95,2,4,4,0
2015-05-24,91,2,4,4,0
2015-05-31,77,1,5,4,0
2015-06-07,91,1,4,3,0
2015-06-14,84,2,2,3,0
2015-06-21,80,1,4,4,0
2015-06-28,78,1,2,5,0
2015-07-05,80,1,2,2,0
2015-07-12,83,1,4,2,0
2015-07-19,92,1,3,2,0
2015-07-26,81,1,2,3,0
2015-08-02,100,1,5,5,0
2015-08-09,93,1,5,4,0
2015-08-16,93,1,5,3,0
2015-08-23,83,1,2,2,0
2015-08-30,90,1,3,4,0
2015-09-06,82,1,2,4,0
2015-09-13,80,1,5,4,0
2015-09-20,94,1,2,4,0
2015-09-27,91,1,6,4,0
2015-10-04,83,1,3,3,0
2015-10-11,79,1,3,3,0
2015-10-18,82,1,3,5,0
2015-10-25,78,2,3,4,0
2015-11-01,76,1,5,3,0
2015-11-08,90,2,3,4,0
2015-11-15,84,1,3,5,0
2015-11-22,74,2,3,4,0
2015-11-29,88,1,3,3,0
2015-12-06,95,1,3,3,0
2015-12-13,94,2,4,4,0
2015-12-20,80,2,3,5,0
2015-12-27,96,2,3,4,0
2016-01-03,61,2,3,3,0
2016-01-10,60,1,3,3,0
2016-01-17,67,1,3,1,0
2016-01-24,63,1,4,2,0
2016-01-31,73,1,2,4,0
2016-02-07,71,1,2,2,0
2016-02-14,68,1,2,4,0
2016-02-21,73,1,4,4,0
